file_list,Level-1 Annotation,Level-2 Annotation,Dynamic Agent,Static Agent
6de3ac6d-ae85-4f87-8331-dd82e68e0924.mp4,Straight,Driving Straight,,
6dec5278-6341-4e70-a64a-0cbc5821b82f.mp4,Stop,Congestion,,vehicle
6df073b8-f4fa-4e92-86bf-ca06f85fd0c7.mp4,Slow Down,"Cut-in, Right Turn",vehicle,
6ede7432-3bc3-42f6-b8c4-cefbf5fef293.mp4,Slow Down,Yield,vehicle,
8b072e53-342a-42d6-aeb2-5b7fb763a426.mp4,Slow Down,Congestion,vehicle,
8dec7a21-f064-494d-a4a9-ab6bb439074d.mp4,Right ,Lane Change,,
9a35475a-0b85-40ce-8f27-c3bd34152321.mp4,Slow Down,Congestion,vehicle,
9adf2642-5f30-46a4-8df3-5ba08e7eb61b.mp4,Stop,Congestion,vehicle,
9b00f954-91fb-4abb-9d8c-509eb31df77c.mp4,Slow Down,Congestion,vehicle,
9b6be3eb-4a57-4bde-8ad3-f8727b89fd23.mp4,Straight,Driving Straight,,
b2490404-8ee5-4970-9839-b0bdab89703e.mp4,Slow Down,Cut in,vehicle,
b3849508-6a9a-4224-aa12-e1b6097649ef.mp4,Slow Down,Congestion,vehicle,
b63c01a3-23a4-4c9c-a694-e9a4aa529e4d.mp4,Straight,Driving Straight,,
b77b4bb7-2331-49ae-8e61-1c07305d2bba.mp4,Slow Down,U Turn,vehicle,
b830d809-7e8e-40de-b762-dcb7037d6e6f.mp4,Right,Lane Change,,
bab31f74-06b9-4c37-8659-b26a9b2c3d0d.mp4,Slow Down,Right Turn,vehicle,
badbb962-3388-4c45-8e02-31cec46fdfb5.mp4,Left,Merging,,
bb0ce270-2465-4631-bf01-a3020a6ccc55.mp4,Slow Down,Animal Crossing,animal,
bd26fa34-cfd0-4b70-8f06-d6ef24ce2e90.mp4,Slow Down,Yield,vehicle,
becf970e-4a71-4cdb-89c0-75d824eb472e.mp4,Straight,Driving Straight,,
bfebbca7-5fb9-43e1-bb8a-c9f4d5900d52.mp4,Slow Down,Left Turn,,
c0b732cf-43a5-427f-a6c5-fcd6399d2efe.mp4,Slow Down,Right Turn,,pothole
c1eb5661-c793-44e5-bc37-79a303c5a742.mp4,Right,Lane Change,,
c6216c42-197b-4b18-952f-86db4516c653.mp4,Slow Down,Congestion,vehicle,
c63b1231-90db-4e45-88c5-24614b9d8674.mp4,Left,Turn,,
c6e794ed-c824-44f4-ac9e-7a0f5c5d4ad9.mp4,Straight,Driving Straight,,
c8af615b-f689-43a4-9bed-4aeea7ae07a5.mp4,Left ,Turn,,
cc71ec98-ec0b-4736-b568-326337a36a6f.mp4,Slow Down,U Turn,vehicle,
cc7784e7-79e8-4d7e-8fd6-1bc475e9ecb0.mp4,Straight,Driving Straight,,
cee71821-5f8f-483e-b019-9e2840677caf.mp4,Slow Down,"Yield, Left Lane Change",vehicle,
d0f1b467-6a23-413d-a244-7a28a33da193.mp4,Straight,Driving Straight,,
d1711cc9-6e02-431c-a259-ce241b39d135.mp4,Slow Down,Left Turn,vehicle,
d19b814f-bd75-4f3f-993c-ace79a72934a.mp4,Slow Down,Right Turn,vehicle,pothole
d2e86529-7a88-485f-a08a-0d2ebc3de162.mp4,Slow Down,Pothole,pedestrian,vehicle
d59e97c9-356e-4109-8586-4e9ad2551379.mp4,Straight,Driving Straight,,
d8cb3605-3863-4148-80e7-8c8268df9445.mp4,Straight,Driving Straight,,
dad432f3-3802-4972-9386-4394a6da5482.mp4,Stop,Pedestrian Crossing,vehicle,
db720ae7-75ec-4fcd-ac98-7ec6c6afdf7c.mp4,Straight,Driving Straight,,
dd6d8cdc-a082-4d65-aac7-466c7e5bac8f.mp4,Slow Down,Congestion,vehicle,
dd9de7d8-7f69-4e33-a64a-d95235993b24.mp4,Slow Down,Left Lane Change,vehicle,
ddde062c-c2b1-43a5-b57a-6c6dea429e10.mp4,Deviate,Avoid Congestion,Other(Rickshaw Cart),
dfce7e22-2954-4fa8-b218-f8cda39c9b98.mp4,Slow Down,Left Turn,vehicle,
e1bc67be-2f96-469b-bafb-93798ec6d78b.mp4,Slow Down,Left Turn,,pothole
e208b81d-3141-473c-8703-575a2d5f723d.mp4,Slow Down,Right Turn,,speed breaker
e335bdad-6693-4583-8479-38c894e4c94a.mp4,Slow Down,Yield,vehicle,Speed breaker
e466b8ee-f5a2-4bed-85d5-32b9f492629b.mp4,Slow Down,Yield ,vehicle,
e52be08d-087d-4798-8a01-95ab8952dae7.mp4,Left,Lane Change,,
e9475f55-7bf9-4181-b2b1-c342a332f77d.mp4,Left ,Turn,,
e956d408-8da3-46f8-b5fd-f1685762e09d.mp4,Straight,Driving Straight,,
e9a30f94-cb0a-4bde-963d-c2930e1a6325.mp4,Right,Lane Change,,
0403de48-8314-41a8-bae8-db6ce43992d3.mp4,Slow Down,Congestion,vehicle,
0469f149-8fb1-4383-b5b1-7a45d4c30ec1.mp4,Slow Down ,U Turn,Vehicle,
0733c8bd-6db2-4834-82cb-0a3400c2b117.mp4,Slow Down,Left Turn,vehicle,
09454d2f-cb4e-40ed-92b7-dbeac6b05ab1.mp4,Right,Lane Change,,
11346b24-5a97-4634-932e-05cd507a0976.mp4,Slow Down,Speed Breaker,vehicle,
131c954f-5b24-4f04-88cb-5ee1996e12be.mp4,Slow Down,U Turn,vehicle,
143ad03b-603a-4507-9be7-52f9d0b88d5c.mp4,Slow Down,Roundabout,"vehicle, pedestrian","pothole, vehicle"
1886e9e2-c055-4b51-a497-fab3ad87cdbe.mp4,Straight,Driving Straight,,
194027c4-89c4-4574-95a0-506d3a1a7565.mp4,Slow Down,"Obstruction, Left Turn",vehicle,
1956879c-a3e6-4ae0-a2b4-2bb771c8eeab.mp4,Left,Lane Change,,
262be9c4-0971-4c5f-8665-6233a3ee9084.mp4,Stop,Congestion,,vehicle
264243d8-8a00-4681-819d-7abe27975a0e.mp4,Slow Down,Left Turn,pedestrian,
292d0613-1015-4701-a375-4d6f246fa738.mp4,Slow Down,Left Turn,vehicle,pothole
29530259-dfb3-44cb-9071-9c934a2f0bc0.mp4,Slow Down,Left Turn,,Speed breaker
29639d42-d099-4ebc-a142-ae622019f028.mp4,Left,Lane Change,,
3120bee9-481e-408d-a357-a9896833e736.mp4,Slow Down ,Roundabout,vehicle,
3246bcb1-a212-4bdc-92b2-e4fbca2d0a07.mp4,Left,Lane Change,,
343edf31-9685-41bd-a1e8-bed6060a9887.mp4,Slow Down,Left Turn,vehicle,
36136dd7-a7e0-45eb-b127-e8a995ab4ae9.mp4,Right,Lane Change,vehicle,
376fcead-9f6a-4dbe-bd69-c5e99e858710.mp4,Straight,Driving Straight,,
381985eb-3015-4f9e-8ae0-4d62bbaccbd4.mp4,Slow Down,Left Turn,vehicle,
462aa580-56f2-4d5d-981d-e8e87a18c5f2.mp4,Right,Lane Change,,
487663b3-505c-41ed-894c-e49693388349.mp4,Slow Down,Yield ,vehicle,
535f8d44-9535-41d6-9002-9b5f431dd2f2.mp4,Slow Down,Left Turn,vehicle,speed breaker
56806da1-66c3-4484-99dc-68b93b414ed0.mp4,Stop,"Obstruction, Right Turn",vehicle,
584b66d1-96af-4c95-a25a-2ca1df9d5ec9.mp4,Stop,Cut-in,"vehicle, pedestrian",
61061fc9-07b6-4db1-ae6c-0686546ec554.mp4,Straight,Driving Straight,,
64294e07-de14-4092-8e85-2fe840d27691.mp4,Slow Down,Congestion,vehicle,
734f594d-26d8-4ad6-99d5-c07a524c94ab.mp4,Slow Down,Left Turn,"vehicle, pedestrian",
748eec35-975e-445b-8e5c-4f0f3fad23f6.mp4,Straight,Driving Straight,,
770ce8f2-5521-4ca5-a28d-63eb59f3112b.mp4,Slow Down,Left Turn,vehicle,
811816f8-b68b-46c0-abad-c8ca2cacf740.mp4,Slow Down,Right Turn,,speed breaker
868730b3-6b7c-4860-be46-79e6ad7b8196.mp4,Slow Down,Right Turn,pedestrian,
884693aa-679a-45ba-a8cb-c59a77bcf783.mp4,Straight,Driving Straight,,
8881f4b2-333e-4527-8432-f70919f10f7b.mp4,Left,Turn,,
923127bd-ddf5-4a2c-9df2-bae82f215733.mp4,Straight,Driving Straight,,
927aa355-ddd9-42c1-9e1b-3fa5e2b4b835.mp4,Left,Lane Change,,
95fef7b9-5f66-46c2-8734-d5e3058c04d6.mp4,Slow Down,Left Turn,pedestrian,pothole
96bbd68b-3e2a-42aa-9036-f048734514cb.mp4,U Turn,,,
e1f28274-4092-49d8-a851-4c181757da8a.mp4,Slow Down,Right Lane Change,"pedestrian, vehicle",
e222945b-5210-479f-b6a3-06ffba651b75.mp4,Left ,Turn,,
ea49ec41-d31c-4868-9320-a0c4a5f7f681.mp4,Straight,Driving Straight,,
eadc9af9-d427-46be-bd71-aa9e1ed0b156.mp4,Slow Down,Left Turn,vehicle,speed breaker
ecb55c22-3d6c-40f6-a791-51c43330f0d0.mp4,Slow Down,Left Turn,,pothole
eddd830c-ce94-44a4-8a81-e9a99d0db40c.mp4,Slow Down,Speed Breaker,,speed breaker
eeeac21d-b07a-4b99-9000-8ece06a32601.mp4,Slow Down,Traffic Light,vehicle,traffic light
f0129579-49cf-49d8-9e39-fc2b8f227eb6.mp4,Slow Down,Traffic Light,vehicle,traffic light
f671f270-b1b8-42b1-a059-dd218631e4ef.mp4,Straight,Driving Straight,,
f7e18c1d-58d8-4bdc-9c85-f7093e8a0a10.mp4,Straight,Driving Straight,,
f98dc337-ad0d-4328-bd36-b317ba2e0dd8.mp4,Left ,Turn,,
5206951b-4d71-46ba-81a3-312e77c79257.mp4,Stop,,,
79539643-6a3f-4c90-94d0-53a9135c5b43.mp4,Straight,Driving Straight,,
95424284-542e-40cf-b318-92bddc88f9a5.mp4,Right,Turn,,
a21eb68b-a25e-4b7e-b0b2-97219b794008.mp4,Slow Down,Left Turn,pedestrian,pothole
a54a354f-baf8-413a-bb17-f20b70fcf132.mp4,Slow Down,Left Turn,"vehicle, pedestrian",pothole
a5b38b67-b6e0-4112-9d46-2c7045559f39.mp4,Slow Down,Left Turn,,pothole
a824f6c0-5410-4c0c-bc67-28a39c55a04f.mp4,Stop,Traffic Light,,vehicle
a8b9c4df-3ea4-4fa3-83d6-f79481f2b659.mp4,Straight,Driving Straight,,
a9ebbed4-7780-494b-8ba9-a1729c30ac8c.mp4,Slow Down,Right Turn,vehicle,
ab9c2b30-e851-4019-9af6-2ffd244c6f58.mp4,Stop,Congestion,vehicle,
ad2133ea-ea56-403b-920c-5355d02117b9.mp4,Straight,Driving Straight,,
b0e1496d-40b7-42a8-8d23-3b600d418178.mp4,Straight,Driving Straight,,
b40ed853-2316-4f39-af8b-b9720ae41314.mp4,Slow Down,Congestion,vehicle,
52ce85b9-f0bf-427b-8374-9ce6968da9e1.mp4,Right,Lane Change,,
58cb383c-5c5f-47e5-9c0e-8dafbb816030.mp4,Slow Down,"Right Turn, Obstruction",vehicle,
73ec2900-d9ac-4656-abfe-c67fe7f2d6df.mp4,Straight,Driving Straight,,
77e68416-4648-430f-8e4b-3c51120c742a.mp4,Slow Down,Left Turn,vehicle,
82fff11f-db57-48e2-ba80-39f9062e24e3.mp4,Slow Down,Right Turn,vehicle,
9b679682-25d5-4a1b-b860-06009634f889.mp4,Slow Down,Congestion,vehicle,
9baf77c5-7cfd-4162-8334-b4b4ff6edcf9.mp4,Slow Down,Congestion,vehicle,speed breaker
9deb6710-5918-42da-819d-26a529abdab0.mp4,Straight,Driving Straight,,
10455a33-71cc-4c95-b764-b78875594aaf.mp4,Right,Lane Change,,
10766d42-5b04-4a41-9623-3852906ff84e.mp4,Straight,Driving Straight,,
15356382-e28f-409a-b4fb-22054e3b47af.mp4,Slow Down,"Congestion, Level-3 Annotation:Right Turn",vehicle,
28439e4d-079f-4e13-83a0-5549f3c86db0.mp4,Straight,Driving Straight,,
2905c5fe-a71e-417e-877d-328a1b6896ef.mp4,Right,Turn,,
46939578-c10f-4445-985a-177726c45e6f.mp4,Left,Turn,vehicle,
4789e7d0-77fb-47a4-9526-68c9a06562f4.mp4,Slow Down,"Obstruction, Level-3 Annotation:Yield",vehicle,
53559247-6d13-4011-9a26-6cfefbe4480b.mp4,Right,Lane Change,,
6836a326-746e-45cd-8938-0eecab7b7883.mp4,Straight,Driving Straight,,
7139c01e-cc86-495a-8e46-26a60fcb434d.mp4,Straight,Driving Straight,,
733193dd-d5ba-42b9-8cf6-06c002a58088.mp4,Left,Lane Change,,
776452c4-09d2-4ff2-887d-213abe4a05a7.mp4,Straight,Driving Straight,,
78824f0c-21a9-4353-ad01-356d47188a59.mp4,Straight,Driving Straight,,
8604edbc-26f8-4d89-8324-cfc6eca9798c.mp4,Left,Lane Change,,
86250f12-c9ce-4365-ab57-cffee99f5795.mp4,Straight,Driving Straight,,
922731b5-4590-4bb9-b3d7-044fc3643e4b.mp4,Left,Lane Change,,
9554d63c-3d63-4258-8815-330928e4dfee.mp4,Slow Down,Left Turn,,speed breaker
a2eb1eed-d930-431c-a3c2-e8bca2b1e22d.mp4,Left ,Lane Change,,
a3de0ffe-a439-411c-a12f-04bdcc193071.mp4,Slow Down,Obstruction,vehicle,
a45cc582-c639-42f0-823e-2e1a16515d36.mp4,Straight,Driving Straight,,
a993d9ad-5234-49f6-8704-91851992c46e.mp4,Slow Down,Congestion,vehicle,pothole
aacb00ca-5063-489c-b0e0-2c7fc280e027.mp4,Slow Down,Pedestrian Crossing,pedestrian,
aca6db60-e421-4cf1-86cb-91f65e7ac7f3.mp4,Left,Turn,,
af162e78-1d80-486f-92c4-2641b0213179.mp4,Stop,Obstructionn,vehicle,
af5ce11e-6ed9-42a1-b06b-912fb5bd5467.mp4,Straight,Driving Straight,,
b0f54954-2761-4b24-a902-8e84cd1e8e1f.mp4,Slow Down,Left Turn,vehicle,pothole
b33ddc70-cfee-445a-a8c4-b2a708a1b973.mp4,Slow Down,Obstruction,vehicle,
01dc0323-cfe3-4558-96e2-7818500368fe.mp4,Slow Down,Congestion,,
0c4cc445-c20a-423e-8f7f-b6cfe471d085.mp4,Left,Lane Change,,
0ca5b51b-1319-4521-a3e1-df85d0c1efd1.mp4,Slow Down,Congestion,vehicle,
0e5e1c6b-4147-47c6-b97a-0f64f4c57d1c.mp4,Left,Turn,,
0f67cd91-8587-498b-bd18-8267991d7930.mp4,Right,Lane Change,,
1bb19933-c451-4f1b-ba91-8cfac4aa5699.mp4,Right,Lane Change,vehicle,
2a4a188f-2d7f-4b90-8d74-abb8aec9ea93.mp4,Slow Down,Left Lane Change,vehicle,
2d96dd89-742b-4d16-ae0d-e4a7877ad18b.mp4,Left ,Turn,,
3a666b54-c08a-4388-afb1-01321c26399f.mp4,Slow Down,Left Turn,vehicle,
3aacfbc2-d610-4d6a-95f3-55418f4d691f.mp4,Straight,Driving Straight,,
3b11fa4e-4c6a-4925-aedc-ab7c536bc565.mp4,Slow Down,Speed Breaker,,speed breaker
3bc6da28-408d-46da-b286-3597f52ac7c3.mp4,Slow Down,Right Turn,vehicle,pothole
3c3d3a95-cedc-4b7d-a180-0bf6147e420c.mp4,Stop,Obstruction,,
3c9ff6c7-c5fe-48b8-a92f-cd3f15ff8fe4.mp4,Slow Down,Right Turn,,pothole
4a560ec0-dc6f-4eaf-be97-0af94b8b402c.mp4,Slow Down ,Traffic Light,,"traffic light, vehicle"
4b41cad6-8191-4480-a0f1-4de77a8942c2.mp4,Slow Down,Right Turn,pedestrian,speed breaker
4b76d043-475c-4a95-adae-cff7e48af7a3.mp4,Left,"Turn, vehicle",,
4ed616ef-279d-4936-b0d1-c1c4336ad25a.mp4,Left ,Turn,vehicle,
5a1afad4-6542-49db-8107-f8dda83823c7.mp4,  Slow Down,Congestion,vehicle,
5b39f1ae-88f5-4c6e-8a34-00b61c273087.mp4,Straight,Driving Straight,,
5bcc0f0d-5831-46d5-b7ae-5f689cf1ea24.mp4,Left,Lane Change,,
5c8b745c-64a5-4514-9937-ae930e1802c6.mp4,Left,Turn,,
5da436ad-2e39-4a7c-9349-740e53704444.mp4,Straight,Driving Straight,,
5f149e91-dc4e-46a1-b2c6-acb92e0fc109.mp4,Straight,Driving Straight,,
6a258be7-7b89-4e36-bfbf-553856b77601.mp4,Left,Lane Change,,
6ed6caf3-c660-4f1f-8c1f-d2a4d4e6cfce.mp4,Slow Down,Left Turn,vehicle,
6f984b30-6f07-4dbe-a278-539b18f61b2a.mp4,Slow Down,Congestion,vehicle,
7ced5519-163c-4e52-8d92-c80cfba38247.mp4,Left ,Turn,,
7d67b96f-c813-4bc5-8625-bf56e947c14e.mp4,Slow Down,Congestion,vehicle,
7ecce060-636d-480f-8e1b-aad7f4725725.mp4,Stop,Congestion,vehicle,
8a9073f9-5323-46bd-a571-1af07f714251.mp4,Straight,Driving Straight,,
8c696e60-dcd2-44c1-add9-88d11b5ab4bb.mp4,Slow Down,Right Turn,,speed breaker
8e444ec3-ac68-42ac-bb68-e9dc9ad6bc41.mp4,Slow Down,U Turn,vehicle,
07a36f85-a29b-47c9-8edd-ce7f9cd9155e.mp4,Straight,Driving Straight,,
08b7a989-4c41-48f3-9a52-3d520cbcd137.mp4,Slow Down,Roundabout,vehicle,
144d3e55-ab10-4536-901c-c281919a143e.mp4,Right,Lane Change,,
1c2050a4-1bb5-4eea-baea-23590da729f3.mp4,Right,Lane Change,,
1c5c9dfc-7204-4e41-ba02-ae2afd331de7.mp4,Straight,Driving Straight,,
1d6a75bb-8c34-4755-baea-2867aeda3e9c.mp4,Stop,Traffic Light,,vehicle
1f0aa9e2-f6e7-45da-850a-45666cdee18f.mp4,Straight,Driving Straight,,
204ca815-5ebe-4780-8b92-76a317e3e149.mp4,Right,Merging,,
235f4df7-4102-4b19-983f-50af52fa8062.mp4,Straight,Driving Straight,,
24a62912-4e43-4c6a-9941-efa59ce7c34f.mp4,Straight,Driving Straight,,
25a57108-31da-4499-88ed-e601c2f7715a.mp4,Stop,Traffic Light,vehicle,
25f725c8-75f6-42c7-8f66-6e3cc9dc7fd3.mp4,Straight,Driving Straight,,
2a0c63f8-487d-438b-9b58-35e6b282e7b9.mp4,Slow Down,Cut-in,vehicle,
2b087d21-6576-461a-91a9-0febdce7ccbb.mp4,Left,Turn,,
2c6406cc-68f2-4d6b-95ff-a0f8cf032ebe.mp4,Left,Lane Change,,
2d0ca910-63f5-47de-ae11-c295e091c6df.mp4,Right,Lane Change,,
2d351081-3833-4f24-9030-b8b5f5811714.mp4,Straight,Driving Straight,,
2e1f6380-6b84-4fa2-9ce1-c77cdc21a73d.mp4,Stop,Traffic Light,,vehicle
332bc48a-6c63-4dad-9f5f-c54e78c037c0.mp4,Straight,Driving Straight,,
33e4edb8-0f00-4a8c-a2fc-2be4c282dd3a.mp4,straight,Driving Straight,,
36d8e42d-1afa-42ce-b208-85ad385872f2.mp4,Right,Lane Change,,
44e4f510-dc40-4d90-b2c3-fe0bdb8c794f.mp4,Left ,Lane Change,,
44ed8a85-453d-4849-b2f1-3fb523d17c06.mp4,Slow Down,Left Turn,pedestrian,
49af15a5-4846-4fda-b47f-994d999eafb0.mp4,Right,Lane Change,,
4cc5617f-4ee7-41d8-b9c7-6b30162fec7b.mp4,Left,Turn,,
4defd220-1c08-4165-9874-9766a2a2951a.mp4,Right,Lane Change,,
51d6f595-e19d-49a6-b00c-9930e030f3b3.mp4,Straight,Driving Straight,,
5b6e9ed2-d565-443f-9d3c-b92cdb49b8a7.mp4,Straight,Driving Straight,,
5ca8be8f-69ad-4450-b6d7-57413b974cb2.mp4,Left,Lane Change,,
61ab59ec-4db1-48b0-b8e8-45df034f39c6.mp4,Straight,Driving Straight,,
6c62dd6c-ba17-4d0b-a6ef-8faa2f4ab21a.mp4,Left,Branching,,
6e3b1619-88f2-42f9-92e9-4ad4969164a1.mp4,Left,Lane Change,,
6eddf72b-11df-44bf-ae6c-ee24708ce172.mp4,Slow Down,U Turn,vehicle,
6fa75735-e721-42fd-bd2a-6ebdad01517d.mp4,Straight,Driving Straight,,
77c4dd3c-5a20-49d5-a7a0-e46b5a374a1a.mp4,Right,Lane Change,,
78de44e0-db04-449c-9423-4ce248aacca9.mp4,Slow Down,Left Turn,vehicle,
7bba3001-67fd-4369-a266-1b6935ce3275.mp4,Straight,Driving Straight,,
7d38e8da-8453-4a73-8b3c-5665b7a7cd12.mp4,Slow Down,Congestion,Vehicle,
7d6bb809-5e46-463a-9ec3-e86dac0f16b1.mp4,Left,Lane change,,
7eb677a7-51b8-442c-aefa-5ecc7e7703ef.mp4,Slow Down,Speed Breaker,vehicle,
81be4c52-d569-4b66-ad2f-8dad95179b09.mp4,Left,Lane Change,,
89cd1105-bde9-4900-8fd9-4aa4f8e164ff.mp4,Straight,Driving Straight,,
89eb4466-bfee-4015-9af6-fa5772e51766.mp4,Straight,Driving Straight,,
8e9ae473-2422-4013-ab73-117fff692991.mp4,Straight,Driving Straight,,
8f3ef4d9-4660-466e-82b2-dd6a06b49b8b.mp4,Left,Lane Change,,
97d83758-5fc4-457e-8567-3c1ea358e258.mp4,Left ,Lane Change,,
99c2eef5-617a-4cc0-8438-e3224f5d9666.mp4,Slow Down,Cut-in,vehicle,
9af67cc8-a6a0-42fa-8dc1-d0b948d326df.mp4,Straight,Driving Straight,,
9bfdc9a2-2272-4024-b854-86987c5da7a9.mp4,Slow Down,Left Turn,pedestrian,
13de6440-0ef9-4632-9dbe-f49141cb3257.mp4,Slow Down,U Turn,vehicle,
155ab506-98c9-4c8b-bc9f-d7fdd13049af.mp4,Slow Down,Congestion,vehicle,
19d78597-cb3b-4849-bcde-77f13aaabf65.mp4,Straight,Driving Straight,,
23de5657-cbc5-468b-92d5-612221b71640.mp4,Left ,Lane Change,,
246dce98-5189-45d4-bbe9-aebc664b1568.mp4,Slow Down,"Left Turn, Level-3 Annotation:Yield",vehicle,pedestrian
29ca64a8-af0e-44fb-a801-c9c490108b2d.mp4,Slow Down,Congestion,vehicle,
30c65afb-93f4-4857-bcaf-cb2b0e57c9a7.mp4,Left,Turn,,
37d8d912-94a7-4649-b76b-5fe0305449da.mp4,Straight,Driving Straight,,
38e46280-6c29-4779-92f5-36598e701e59.mp4,Straight,Driving Straight,,
45ec061d-3a8c-460e-a793-1f98abc238d8.mp4,Slow Down,Congestion,vehicle,
56fc1498-8a1b-4eaa-85c6-9bb0d527fee5.mp4,Slow Down,Cut-in,vehicle,
60a02721-9045-47bf-bf02-f492589e3991.mp4,"Slow Down, Level-2 A nnotation,Left Turn",,vehicle,Pedestrian
72d10288-2ee3-4990-ad02-3c1e49fe5716.mp4,Straight,Driving Straight,,
74ec48a9-8fd1-4f48-8294-0a7d1957f1bf.mp4,Slow Down,Obstruction,vehicle,pothole
79f662b8-fbad-4bb6-9c08-586de3b8c181.mp4,Straight,Driving Straight,,
88d9e3f9-2e06-4305-9a3f-07b59df248f5.mp4,Straight,Driving Straight,,
95a32845-3d7c-4700-a6d5-b55bedd802dd.mp4,Slow Down,Congestion,vehicle,
98d36605-75b8-4011-9ebd-0a55e6f9b30a.mp4,Left,Turn,,
360e58bd-7a0d-4c78-8ad7-b82e87e2ad1e.mp4,Slow Down ,U Turn,,
582f28b5-13dd-4a46-a231-af62018de409.mp4,Straight,Driving Straight,,
649efb4d-8923-4ad1-9741-018b8e504bcb.mp4,Straight,Driving Straight,,
711bf2ae-5ff2-4751-9bc9-0ae37a9797e0.mp4,Slow Down,Yield,vehicle,
735bd135-f306-4ae6-b75b-c1894dbc7a47.mp4,Slow Down,Yield,vehicle,
735cf3fb-039f-4613-9d9c-3391551e0ecf.mp4,Right,Lane Change,,
896fbdf4-4028-4187-9d06-03e9bf6354d9.mp4,Stop,Obstruction,vehicle,
943d3b2c-0b21-4b6a-a54a-9de0ae098c88.mp4,Slow Down,Left Turn,vehicle,speed breaker
963ce90e-f24f-4e66-91d5-d5a8ca564e2e.mp4,Straight,Driving Straight,,
20822bcf-51ee-43e9-b1ed-175e8d68caca.mp4,Right,Lane Change,,
3400b12d-e248-40f2-ba30-0976be9888bc.mp4,Slow Down,Right Turn,vehicle,
36778a77-c418-4b52-9c30-129198fb3163.mp4,Left,Lane Change,,
484d14dc-4619-4ab4-96ad-49dabdcb92ba.mp4,Left,"Turn, Level-3 Annotation:Merging",,
627589c0-9291-49b0-8f66-748947862c90.mp4,Left,Lane Change,,
6934edbc-13c9-4f36-b528-88ba68b6d47c.mp4,Straight,Driving Straight,,
