==========================================
SLURM_JOB_ID = 2410593
SLURM_NODELIST = gnode106
SLURM_JOB_GPUS = 1
==========================================
/var/spool/slurmd/job2410593/slurm_script: line 10: activate: No such file or directory

video 1/1721 (1/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 26.9ms
video 1/1721 (16/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (17/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 license, 23.8ms
video 1/1721 (18/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 license, 23.8ms
video 1/1721 (19/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (20/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (21/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (22/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (23/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (24/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (25/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (26/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (27/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (28/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (29/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 license, 24.0ms
video 1/1721 (30/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 license, 23.8ms
video 1/1721 (31/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 license, 23.8ms
video 1/1721 (32/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 license, 23.8ms
video 1/1721 (33/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 license, 23.8ms
video 1/1721 (34/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 license, 23.9ms
video 1/1721 (35/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (36/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (37/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (38/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (39/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (40/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (41/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (42/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (43/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (44/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (45/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (46/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (47/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (48/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (49/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (50/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (51/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (52/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (53/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (54/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (55/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (56/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (57/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (58/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (59/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (60/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (61/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (62/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (63/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (64/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (65/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (66/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (67/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (68/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (69/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (70/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (71/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (72/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (73/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (74/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (75/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (76/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (77/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (78/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (79/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (80/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (81/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (82/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (83/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (84/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (85/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (86/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (87/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (88/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (89/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (90/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (91/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (92/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (93/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (94/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (95/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (96/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (97/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (98/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (99/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (100/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (101/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (102/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (103/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (104/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (105/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (106/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (107/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (108/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (109/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (110/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (111/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (112/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (113/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (114/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (115/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 license, 23.8ms
video 1/1721 (116/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 license, 23.8ms
video 1/1721 (117/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 license, 23.8ms
video 1/1721 (118/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 license, 23.8ms
video 1/1721 (119/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (120/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (121/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (122/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (123/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (124/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (125/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (126/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (127/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (128/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (129/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (130/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (131/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (132/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (133/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (134/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (135/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 23.9ms
video 1/1721 (136/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 23.8ms
video 1/1721 (137/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 23.9ms
video 1/1721 (138/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 23.8ms
video 1/1721 (139/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 24.0ms
video 1/1721 (140/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 23.8ms
video 1/1721 (141/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (142/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (143/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (144/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (145/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (146/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (147/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (148/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (149/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (150/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (151/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (152/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (153/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 23.8ms
video 1/1721 (154/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 23.8ms
video 1/1721 (155/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (156/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (157/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (158/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (159/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (160/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (161/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (162/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (163/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (164/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (165/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (166/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (167/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
video 1/1721 (168/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (169/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.8ms
