json_stats: {"RAM": "8.56/251.57G", "_type": "train_epoch", "dt": 0.12586, "dt_data": 0.12586, "dt_net": 0.54214, "epoch": "1/200", "eta": "0:01:15", "gpu_mem": "7.44G", "grad_norm": 78.58661, "loss": 1.76763, "lr": 0.00000, "top1_err": 91.66667, "top5_err": 0.00000}
json_stats: {"RAM": "8.88/251.57G", "_type": "train_epoch", "dt": 0.08299, "dt_data": 0.08299, "dt_net": 0.57162, "epoch": "1/2", "eta": "0:00:00", "gpu_mem": "4.63G", "grad_norm": 128.90514, "loss": 2.08636, "lr": 0.00000, "top1_err": 91.66667, "top5_err": 16.66667}
json_stats: {"RAM": "8.80/251.57G", "_type": "train_epoch", "dt": 0.08113, "dt_data": 0.08113, "dt_net": 0.56383, "epoch": "1/2", "eta": "0:00:00", "gpu_mem": "4.63G", "grad_norm": 129.32655, "loss": 2.07802, "lr": 0.00000, "top1_err": 91.66667, "top5_err": 16.66667}
json_stats: {"RAM": "8.79/251.57G", "_type": "train_epoch", "dt": 0.08818, "dt_data": 0.08818, "dt_net": 0.56057, "epoch": "2/2", "eta": "0:00:00", "gpu_mem": "4.63G", "grad_norm": 119.46716, "loss": 2.14984, "lr": 0.00001, "top1_err": 83.33333, "top5_err": 25.00000}
json_stats: {"RAM": "8.86/251.57G", "_type": "val_epoch", "epoch": "2/2", "gpu_mem": "4.63G", "min_top1_err": 75.00000, "min_top5_err": 41.66667, "time_diff": 0.00010, "top1_err": 75.00000, "top5_err": 41.66667}
json_stats: {"RAM": "7.73/251.57G", "_type": "train_epoch", "dt": 0.08089, "dt_data": 0.08088, "dt_net": 0.55796, "epoch": "1/50", "eta": "0:00:47", "gpu_mem": "4.63G", "grad_norm": 94.21052, "loss": 3.87553, "lr": 0.00000, "top1_err": 91.66667, "top5_err": 25.00000}
json_stats: {"RAM": "7.89/251.57G", "_type": "train_epoch", "dt": 0.08767, "dt_data": 0.08767, "dt_net": 0.56448, "epoch": "2/50", "eta": "0:00:50", "gpu_mem": "4.63G", "grad_norm": 87.37461, "loss": 3.61416, "lr": 0.00001, "top1_err": 100.00000, "top5_err": 16.66667}
json_stats: {"RAM": "8.16/251.57G", "_type": "train_epoch", "dt": 0.09044, "dt_data": 0.09044, "dt_net": 0.57216, "epoch": "3/50", "eta": "0:00:50", "gpu_mem": "4.63G", "grad_norm": 85.71481, "loss": 3.28174, "lr": 0.00001, "top1_err": 66.66667, "top5_err": 16.66667}
json_stats: {"RAM": "8.36/251.57G", "_type": "train_epoch", "dt": 0.13117, "dt_data": 0.13117, "dt_net": 0.74769, "epoch": "1/50", "eta": "0:00:38", "gpu_mem": "8.08G", "grad_norm": 74.69099, "loss": 3.53429, "lr": 0.00000, "top1_err": 83.33333, "top5_err": 33.33333}
json_stats: {"RAM": "8.34/251.57G", "_type": "train_epoch", "dt": 0.12815, "dt_data": 0.12815, "dt_net": 0.73934, "epoch": "2/50", "eta": "0:00:36", "gpu_mem": "8.08G", "grad_norm": 51.25087, "loss": 3.46405, "lr": 0.00001, "top1_err": 83.33333, "top5_err": 0.00000}
json_stats: {"RAM": "8.36/251.57G", "_type": "train_epoch", "dt": 0.12849, "dt_data": 0.12849, "dt_net": 0.73108, "epoch": "3/50", "eta": "0:00:36", "gpu_mem": "8.08G", "grad_norm": 61.76897, "loss": 3.37832, "lr": 0.00001, "top1_err": 91.66667, "top5_err": 16.66667}
json_stats: {"RAM": "8.28/251.57G", "_type": "train_epoch", "dt": 0.12667, "dt_data": 0.12667, "dt_net": 0.74472, "epoch": "4/50", "eta": "0:00:34", "gpu_mem": "8.08G", "grad_norm": 35.81821, "loss": 3.57269, "lr": 0.00001, "top1_err": 83.33333, "top5_err": 16.66667}
json_stats: {"RAM": "8.37/251.57G", "_type": "train_epoch", "dt": 0.12755, "dt_data": 0.12755, "dt_net": 0.73578, "epoch": "5/50", "eta": "0:00:34", "gpu_mem": "8.08G", "grad_norm": 66.04872, "loss": 3.43948, "lr": 0.00002, "top1_err": 91.66667, "top5_err": 8.33333}
json_stats: {"RAM": "8.35/251.57G", "_type": "train_epoch", "dt": 0.12760, "dt_data": 0.12760, "dt_net": 0.74903, "epoch": "6/50", "eta": "0:00:33", "gpu_mem": "8.08G", "grad_norm": 48.50557, "loss": 3.23682, "lr": 0.00002, "top1_err": 58.33333, "top5_err": 8.33333}
json_stats: {"RAM": "8.36/251.57G", "_type": "train_epoch", "dt": 0.12945, "dt_data": 0.12945, "dt_net": 0.74616, "epoch": "7/50", "eta": "0:00:33", "gpu_mem": "8.08G", "grad_norm": 52.98669, "loss": 3.60466, "lr": 0.00002, "top1_err": 75.00000, "top5_err": 25.00000}
json_stats: {"RAM": "8.32/251.57G", "_type": "train_epoch", "dt": 0.12615, "dt_data": 0.12615, "dt_net": 0.74063, "epoch": "8/50", "eta": "0:00:31", "gpu_mem": "8.08G", "grad_norm": 42.06212, "loss": 3.92108, "lr": 0.00003, "top1_err": 100.00000, "top5_err": 25.00000}
json_stats: {"RAM": "8.31/251.57G", "_type": "train_epoch", "dt": 0.12905, "dt_data": 0.12905, "dt_net": 0.74937, "epoch": "9/50", "eta": "0:00:31", "gpu_mem": "8.08G", "grad_norm": 66.36957, "loss": 4.10796, "lr": 0.00003, "top1_err": 83.33333, "top5_err": 33.33333}
json_stats: {"RAM": "8.30/251.57G", "_type": "train_epoch", "dt": 0.12510, "dt_data": 0.12510, "dt_net": 0.74509, "epoch": "10/50", "eta": "0:00:30", "gpu_mem": "8.08G", "grad_norm": 36.66132, "loss": 4.08061, "lr": 0.00003, "top1_err": 83.33333, "top5_err": 25.00000}
json_stats: {"RAM": "8.27/251.57G", "_type": "train_epoch", "dt": 0.12921, "dt_data": 0.12921, "dt_net": 0.74726, "epoch": "1/50", "eta": "0:00:37", "gpu_mem": "8.07G", "grad_norm": 76.04204, "loss": 3.65551, "lr": 0.00000, "top1_err": 83.33333, "top5_err": 41.66667}
json_stats: {"RAM": "8.29/251.57G", "_type": "train_epoch", "dt": 0.12846, "dt_data": 0.12846, "dt_net": 0.74484, "epoch": "2/50", "eta": "0:00:36", "gpu_mem": "8.07G", "grad_norm": 42.62897, "loss": 3.48011, "lr": 0.00001, "top1_err": 83.33333, "top5_err": 8.33333}
json_stats: {"RAM": "8.26/251.57G", "_type": "train_epoch", "dt": 0.12727, "dt_data": 0.12727, "dt_net": 0.73142, "epoch": "3/50", "eta": "0:00:35", "gpu_mem": "8.07G", "grad_norm": 60.45784, "loss": 3.25764, "lr": 0.00001, "top1_err": 66.66667, "top5_err": 25.00000}
json_stats: {"RAM": "8.28/251.57G", "_type": "train_epoch", "dt": 0.12674, "dt_data": 0.12674, "dt_net": 0.74290, "epoch": "4/50", "eta": "0:00:34", "gpu_mem": "8.07G", "grad_norm": 36.17641, "loss": 3.52425, "lr": 0.00001, "top1_err": 91.66667, "top5_err": 8.33333}
json_stats: {"RAM": "8.29/251.57G", "_type": "train_epoch", "dt": 0.12821, "dt_data": 0.12821, "dt_net": 0.74589, "epoch": "1/2", "eta": "0:00:00", "gpu_mem": "8.08G", "grad_norm": 74.49990, "loss": 3.71633, "lr": 0.00000, "top1_err": 83.33333, "top5_err": 41.66667}
json_stats: {"RAM": "8.29/251.57G", "_type": "train_epoch", "dt": 0.12730, "dt_data": 0.12730, "dt_net": 0.74405, "epoch": "2/2", "eta": "0:00:00", "gpu_mem": "8.08G", "grad_norm": 58.69498, "loss": 3.52595, "lr": 0.00001, "top1_err": 91.66667, "top5_err": 16.66667}
json_stats: {"RAM": "8.20/251.57G", "_type": "train_epoch", "dt": 0.13038, "dt_data": 0.13038, "dt_net": 0.75352, "epoch": "1/2", "eta": "0:00:00", "gpu_mem": "8.08G", "grad_norm": 74.51192, "loss": 3.66659, "lr": 0.00000, "top1_err": 83.33333, "top5_err": 41.66667}
json_stats: {"RAM": "8.24/251.57G", "_type": "train_epoch", "dt": 0.12724, "dt_data": 0.12724, "dt_net": 0.74365, "epoch": "2/2", "eta": "0:00:00", "gpu_mem": "8.08G", "grad_norm": 44.69071, "loss": 3.41794, "lr": 0.00001, "top1_err": 66.66667, "top5_err": 0.00000}
json_stats: {"RAM": "8.35/251.57G", "_type": "train_epoch", "dt": 0.12898, "dt_data": 0.12898, "dt_net": 0.75259, "epoch": "1/2", "eta": "0:00:00", "gpu_mem": "8.08G", "grad_norm": 62.09459, "loss": 3.59898, "lr": 0.00000, "top1_err": 83.33333, "top5_err": 25.00000}
json_stats: {"RAM": "8.28/251.57G", "_type": "train_epoch", "dt": 0.12732, "dt_data": 0.12732, "dt_net": 0.73582, "epoch": "2/2", "eta": "0:00:00", "gpu_mem": "8.08G", "grad_norm": 45.22005, "loss": 3.37396, "lr": 0.00001, "top1_err": 75.00000, "top5_err": 8.33333}
json_stats: {"RAM": "8.24/251.57G", "_type": "train_epoch", "dt": 0.12886, "dt_data": 0.12886, "dt_net": 0.73725, "epoch": "1/2", "eta": "0:00:00", "gpu_mem": "8.08G", "grad_norm": 81.17432, "loss": 3.69994, "lr": 0.00000, "top1_err": 83.33333, "top5_err": 33.33333}
json_stats: {"RAM": "8.25/251.57G", "_type": "train_epoch", "dt": 0.12709, "dt_data": 0.12709, "dt_net": 0.73182, "epoch": "2/2", "eta": "0:00:00", "gpu_mem": "8.08G", "grad_norm": 45.22035, "loss": 3.44415, "lr": 0.00001, "top1_err": 91.66667, "top5_err": 8.33333}
json_stats: {"RAM": "8.26/251.57G", "_type": "train_epoch", "dt": 0.12975, "dt_data": 0.12975, "dt_net": 0.74951, "epoch": "1/2", "eta": "0:00:00", "gpu_mem": "8.08G", "grad_norm": 62.69857, "loss": 3.61752, "lr": 0.00000, "top1_err": 83.33333, "top5_err": 25.00000}
json_stats: {"RAM": "8.28/251.57G", "_type": "train_epoch", "dt": 0.12807, "dt_data": 0.12807, "dt_net": 0.74827, "epoch": "2/2", "eta": "0:00:00", "gpu_mem": "8.08G", "grad_norm": 43.22897, "loss": 3.38328, "lr": 0.00001, "top1_err": 75.00000, "top5_err": 16.66667}
json_stats: {"RAM": "8.26/251.57G", "_type": "train_epoch", "dt": 1.71542, "dt_data": 1.71542, "dt_net": 0.74095, "epoch": "1/2", "eta": "0:00:10", "gpu_mem": "8.08G", "grad_norm": 64.68714, "loss": 3.68433, "lr": 0.00000, "top1_err": 83.33333, "top5_err": 25.00000}
json_stats: {"RAM": "8.23/251.57G", "_type": "train_epoch", "dt": 0.12921, "dt_data": 0.12921, "dt_net": 0.75270, "epoch": "2/2", "eta": "0:00:00", "gpu_mem": "8.08G", "grad_norm": 45.33076, "loss": 3.45278, "lr": 0.00001, "top1_err": 75.00000, "top5_err": 8.33333}
json_stats: {"RAM": "8.36/251.57G", "_type": "val_epoch", "acc(ego)": 0.00000, "acc(gaze)": 0.16667, "epoch": "2/2", "f1(ego)": 0.45833, "f1(gaze)": 0.04762, "gpu_mem": "8.08G", "min_top1_err": 75.00000, "min_top5_err": 8.33333, "time_diff": 0.00008, "top1_err": 75.00000, "top5_err": 8.33333}
json_stats: {"RAM": "8.27/251.57G", "_type": "train_epoch", "dt": 0.12707, "dt_data": 0.12707, "dt_net": 0.75152, "epoch": "1/50", "eta": "0:00:37", "gpu_mem": "8.07G", "grad_norm": 61.05661, "loss": 3.66985, "lr": 0.00000, "top1_err": 100.00000, "top5_err": 16.66667}
json_stats: {"RAM": "8.24/251.57G", "_type": "train_epoch", "dt": 0.12859, "dt_data": 0.12859, "dt_net": 0.75577, "epoch": "2/50", "eta": "0:00:37", "gpu_mem": "8.07G", "grad_norm": 73.65000, "loss": 3.60981, "lr": 0.00001, "top1_err": 91.66667, "top5_err": 25.00000}
json_stats: {"RAM": "8.26/251.57G", "_type": "train_epoch", "dt": 0.12754, "dt_data": 0.12754, "dt_net": 0.74781, "epoch": "3/50", "eta": "0:00:35", "gpu_mem": "8.07G", "grad_norm": 64.06972, "loss": 3.71965, "lr": 0.00001, "top1_err": 100.00000, "top5_err": 41.66667}
json_stats: {"RAM": "8.25/251.57G", "_type": "train_epoch", "dt": 0.12714, "dt_data": 0.12714, "dt_net": 0.74787, "epoch": "4/50", "eta": "0:00:35", "gpu_mem": "8.07G", "grad_norm": 60.23391, "loss": 3.38407, "lr": 0.00001, "top1_err": 83.33333, "top5_err": 25.00000}
json_stats: {"RAM": "8.26/251.57G", "_type": "train_epoch", "dt": 0.12740, "dt_data": 0.12740, "dt_net": 0.76013, "epoch": "5/50", "eta": "0:00:34", "gpu_mem": "8.07G", "grad_norm": 37.62362, "loss": 3.47599, "lr": 0.00002, "top1_err": 75.00000, "top5_err": 16.66667}
json_stats: {"RAM": "8.20/251.57G", "_type": "train_epoch", "dt": 2.30740, "dt_data": 2.30739, "dt_net": 0.75431, "epoch": "6/50", "eta": "0:10:09", "gpu_mem": "8.07G", "grad_norm": 45.37222, "loss": 3.17560, "lr": 0.00002, "top1_err": 75.00000, "top5_err": 8.33333}
json_stats: {"RAM": "8.28/251.57G", "_type": "train_epoch", "dt": 0.12528, "dt_data": 0.12528, "dt_net": 0.74194, "epoch": "1/2", "eta": "0:00:00", "gpu_mem": "8.08G", "grad_norm": 64.16522, "loss": 3.70699, "lr": 0.00000, "top1_err": 100.00000, "top5_err": 25.00000}
json_stats: {"RAM": "8.27/251.57G", "_type": "train_epoch", "dt": 0.13201, "dt_data": 0.13201, "dt_net": 0.74948, "epoch": "2/2", "eta": "0:00:00", "gpu_mem": "8.08G", "grad_norm": 73.37784, "loss": 3.53995, "lr": 0.00001, "top1_err": 83.33333, "top5_err": 25.00000}
json_stats: {"RAM": "8.36/251.57G", "_type": "val_epoch", "acc(ego)": 0.00000, "acc(gaze)": 0.16667, "epoch": "2/2", "f1(ego)": 0.17778, "f1(gaze)": 0.04762, "gpu_mem": "8.08G", "min_top1_err": 91.66667, "min_top5_err": 33.33333, "time_diff": 0.00010, "top1_err": 91.66667, "top5_err": 33.33333}
json_stats: {"RAM": "8.26/251.57G", "_type": "train_epoch", "dt": 0.12667, "dt_data": 0.12667, "dt_net": 0.73693, "epoch": "1/2", "eta": "0:00:00", "gpu_mem": "8.08G", "grad_norm": 64.12782, "loss": 3.69215, "lr": 0.00000, "top1_err": 100.00000, "top5_err": 16.66667}
json_stats: {"RAM": "8.27/251.57G", "_type": "train_epoch", "dt": 0.13055, "dt_data": 0.13055, "dt_net": 0.74624, "epoch": "2/2", "eta": "0:00:00", "gpu_mem": "8.08G", "grad_norm": 74.76088, "loss": 3.45027, "lr": 0.00001, "top1_err": 83.33333, "top5_err": 8.33333}
json_stats: {"RAM": "8.33/251.57G", "_type": "val_epoch", "acc(ego)": 0.00000, "acc(gaze)": 0.16667, "epoch": "2/2", "f1(ego)": 0.22917, "f1(gaze)": 0.04762, "gpu_mem": "8.08G", "min_top1_err": 83.33333, "min_top5_err": 16.66667, "time_diff": 0.00008, "top1_err": 83.33333, "top5_err": 16.66667}
json_stats: {"RAM": "7.39/251.57G", "_type": "train_epoch", "dt": 0.23333, "dt_data": 0.23333, "dt_net": 1.15318, "epoch": "1/100", "eta": "0:00:23", "gpu_mem": "6.41G", "grad_norm": 4.55321, "loss": 5.63762, "lr": 0.01000, "top1_err": 100.00000, "top5_err": 100.00000}
json_stats: {"RAM": "7.34/251.57G", "_type": "train_epoch", "dt": 0.27786, "dt_data": 0.27786, "dt_net": 0.65326, "epoch": "2/100", "eta": "0:00:27", "gpu_mem": "6.43G", "grad_norm": 3.99559, "loss": 5.46631, "lr": 0.01179, "top1_err": 100.00000, "top5_err": 100.00000}
json_stats: {"RAM": "7.31/251.57G", "_type": "train_epoch", "dt": 0.23509, "dt_data": 0.23509, "dt_net": 1.14921, "epoch": "1/1", "eta": "0:00:00", "gpu_mem": "6.41G", "grad_norm": 4.55321, "loss": 5.63762, "lr": 0.01000, "top1_err": 100.00000, "top5_err": 100.00000}
json_stats: {"RAM": "7.30/251.57G", "_type": "train_epoch", "dt": 0.24085, "dt_data": 0.24085, "dt_net": 1.11865, "epoch": "2/2", "eta": "0:00:00", "gpu_mem": "6.42G", "grad_norm": 4.28455, "loss": 5.25733, "lr": 0.01114, "top1_err": 75.00000, "top5_err": 62.50000}
json_stats: {"RAM": "7.22/251.57G", "_type": "val_epoch", "epoch": "3/2", "gpu_mem": "0.14G", "min_top1_err": 83.33333, "min_top5_err": 25.00000, "time_diff": 0.09754, "top1_err": 83.33333, "top5_err": 25.00000}
json_stats: {"RAM": "7.32/251.57G", "_type": "train_epoch", "dt": 0.18505, "dt_data": 0.18505, "dt_net": 0.76041, "epoch": "1/2", "eta": "0:00:00", "gpu_mem": "8.40G", "grad_norm": 8.43783, "loss": 2.01855, "lr": 0.01000, "top1_err": 87.50000, "top5_err": 37.50000}
json_stats: {"RAM": "7.33/251.57G", "_type": "train_epoch", "dt": 0.19985, "dt_data": 0.19985, "dt_net": 0.31818, "epoch": "2/2", "eta": "0:00:00", "gpu_mem": "8.58G", "grad_norm": 8.47669, "loss": 2.12357, "lr": 0.00971, "top1_err": 75.00000, "top5_err": 25.00000}
json_stats: {"RAM": "7.36/251.57G", "_type": "val_epoch", "epoch": "2/2", "gpu_mem": "8.58G", "min_top1_err": 75.00000, "min_top5_err": 0.00000, "time_diff": 0.09670, "top1_err": 75.00000, "top5_err": 0.00000}
json_stats: {"RAM": "11.95/251.57G", "_type": "train_epoch", "dt": 0.19039, "dt_data": 0.19039, "dt_net": 0.30750, "epoch": "1/100", "eta": "0:38:56", "gpu_mem": "8.58G", "grad_norm": 7.16619, "loss": 2.35708, "lr": 0.01187, "top1_err": 79.33468, "top5_err": 18.24597}
json_stats: {"RAM": "11.88/251.57G", "_type": "train_epoch", "dt": 0.20280, "dt_data": 0.20280, "dt_net": 0.65747, "epoch": "1/100", "eta": "0:41:28", "gpu_mem": "6.43G", "grad_norm": 3.40818, "loss": 2.73767, "lr": 0.01178, "top1_err": 81.35081, "top5_err": 31.14919}
